wreck_id,obstruction_type,lat,lon,water_depth,original_date
95263,,33.90337,35.51745,13,2020
101812,,33.90475,35.52143,15,2022
101810,,33.90817,35.52433,15,2022
95266,,33.90395,35.5235,10,2020
95261,,33.90583,35.51863,10,2020
82824,,33.90525,35.51665,5,2015
101815,,33.9038,35.51228,3,2022
39928,,33.90308,35.50985,11,1992
101816,,33.90268,35.5102,9,2022
62012,foul ground,33.90438,35.51407,16,2002
101818,,33.90155,35.50847,6,2022
101859,foul area,33.99095,35.6237,13,2022
101860,,33.98418,35.6275,1,2022
62265,,64.11625,-21.95375,9,2003
97331,foul area,22.52267,113.83667,5,2021
54849,,64.15795,-21.88975,14,1935
62670,foul area,22.3273,114.11517,14,2003
101987,foul ground,39.86517,8.346,42,2023
101989,foul ground,39.85642,8.28008,46,2023
101988,foul ground,39.86558,8.31008,43,2023
101986,foul ground,39.85767,8.37317,37,2023
37644,,35.89145,14.51985,4,1949
37448,,35.89088,14.52222,18,1941
102181,,1.30708,103.97172,10,2023
37459,,35.89928,14.52543,12,1946
37382,,35.89782,14.5276,4,1946
37443,,35.90265,14.51567,10,1942
37672,,35.90048,14.50192,20,1957
102017,,35.90148,14.49892,5,2023
37379,,35.90105,14.50395,10,1975
59083,foul ground,35.90672,14.5041,15,2000
102010,foul area,35.975,14.422,49,2021
80374,,35.83352,14.54858,9,2013
79317,,35.82328,14.53203,9,2012
93950,foul ground,35.81833,14.59333,92,2020
102048,foul ground,64.92217,6.73567,305,2023
98234,foul ground,35.8121,14.59988,98,2021
81718,,59.33608,24.03988,22,2014
102126,,65.61025,-23.5576,20,2023
101498,,59.38763,24.09112,10,2023
95747,,59.33958,24.06653,1,2018
94257,,3.0934,101.31085,10,2020
79423,,1.29737,103.64558,4,2012
73328,,60.03333,19.18333,119,2009
46110,,1.24773,103.9224,33,1994
85202,,1.39693,103.95418,6,2016
85198,,1.38955,103.9491,7,2016
85206,,1.40182,103.94652,7,2016
46197,foul area,1.35217,103.629,7,1998
70505,foul ground,22.34425,114.03875,23,2007
45505,,1.24472,103.87723,18,1939
85193,,1.44025,103.86728,5,2016
85188,,1.47175,103.81653,5,2016
45768,,1.42572,103.9231,4,1987
73810,,1.44625,103.86555,8,2009
46156,,1.42902,103.8627,0,1995
73811,,1.44222,103.86972,7,2009
85201,,1.39608,103.95353,7,2016
85194,,1.42663,103.92872,5,2016
