wreck_id,obstruction_type,lat,lon,water_depth,original_date
69606,,55.27942,-8.91452,104,2005
56582,,56.0,-10.00028,2100,1946
56170,,55.5,-11.0,2500,1945
3330,,55.96667,-9.58333,1300,1946
68925,diffuser,54.64917,-8.12417,-1,2006
6926,,53.20017,-10.10083,80,1918
6925,,53.83333,-11.16667,190,1939
6927,,53.60017,-10.30083,0,1943
64768,,54.52283,-6.4935,2,2003
56189,,56.1,-12.2,2725,1940
2565,,56.16667,-9.41667,1100,1940
6938,,53.67045,-9.91222,-1,1981
9684,,52.0645,-10.30913,45,1997
9677,,52.31283,-10.27567,60,1917
9675,,52.15062,-10.48272,37,1940
9671,,52.05867,-10.80483,120,1917
9689,,52.57722,-9.63333,-2,1842
9688,,52.29812,-9.94217,7,1920
6940,,53.1085,-9.9357,86,1993
6931,,53.23572,-9.10845,5,1947
6933,,53.25183,-9.05512,-2,1962
6937,,53.83462,-9.66638,6,1928
9665,,52.00033,-11.00067,134,1917
9678,,52.35033,-10.96733,115,1917
9679,,52.492,-10.18383,88,1918
6932,,53.23628,-9.10622,5,1975
9685,,52.40312,-10.34913,80,1998
9687,,52.287,-9.93717,7,1926
9683,,52.35783,-10.36428,70,1991
9667,,52.167,-11.01733,122,1917
6939,,53.93628,-9.93278,-1,1982
9672,,52.09527,-10.03307,11,1903
9666,,52.0,-11.5,300,1916
9676,,52.30033,-10.16717,0,1979
9668,,52.212,-11.06733,123,1915
9670,,52.16805,-11.675,230,1995
9674,,52.10128,-10.49678,30,1969
9673,,52.097,-10.53758,22,1969
6934,,53.25683,-9.0465,4,1921
9680,,52.62672,-10.03883,85,1915
9681,,52.10783,-10.4705,0,1982
9686,,52.25283,-9.85772,1,1920
9669,,52.25033,-11.06733,124,1917
9699,foul ground,52.60783,-9.5905,12,1994
11281,,51.41667,-11.41667,190,1969
9693,,52.77528,-9.49602,5,1817
9696,foul ground,52.62617,-9.12705,21,1984
9692,foul ground,52.6295,-9.11733,8,1975
9697,,52.5545,-9.88912,12,1991
9691,,52.59217,-9.642,25,1978
9698,,52.7203,-9.63222,23,1994
11294,,51.25033,-10.634,157,1917
17738,,50.59027,-4.9794,35,1975
16769,,50.58388,-5.03438,30,1918
11298,,51.292,-10.35483,131,1915
11296,,51.25867,-10.184,123,1917
17739,,50.59222,-4.9969,33,1975
9690,,52.58437,-9.6955,2,1947
9694,,52.61867,-9.11788,-1,1981
11286,,51.93333,-11.3,160,1940
11283,,51.56667,-11.38333,220,1917
11285,,51.81667,-11.78333,600,1969
11287,,51.78508,-11.07962,170,1997
9703,,52.67728,-8.91737,1,1986
11301,,51.38922,-10.67012,155,1915
11302,,51.43968,-10.25902,100,1917
11295,,51.26283,-10.58817,155,1917
11282,,51.47752,-11.00127,178,1944
11303,,51.49822,-10.02452,69,1940
11304,,51.55033,-10.459,104,1974
9702,foul ground,52.26213,-9.99922,3,1998
11284,,51.78333,-11.66667,300,1917
9695,foul ground,52.62728,-9.12455,22,1984
11280,,51.25033,-11.06733,124,1945
9700,,52.88267,-9.99205,102,1995
11309,,51.90312,-10.834,120,1916
11316,,51.49858,-10.77512,159,1995
16085,foul ground,50.74607,-6.4987,94,1977
11313,,51.90997,-10.83092,126,1917
16991,foul ground,50.71053,-5.15217,58,1969
16086,foul ground,50.75108,-6.00792,87,1977
16092,foul ground,50.7769,-6.03902,89,UNKNOWN
11314,,51.937,-10.31717,0,1989
16536,,50.43388,-5.25103,34,1918
11310,,51.96422,-11.00012,140,1917
57530,,50.49998,-5.9243,78,1975
11311,,51.40533,-10.084,90,1981
11315,,51.61505,-10.23788,70,1994
11317,,51.4252,-10.25067,105,1997
57538,,50.39945,-5.83708,67,1975
11697,foul ground,51.48755,-6.40195,93,1977
11306,,51.76978,-10.53817,9,1917
16088,foul ground,50.75773,-6.01957,89,UNKNOWN
16076,foul ground,50.70275,-6.24927,92,1977
16099,foul ground,50.7944,-6.04402,90,UNKNOWN
57550,,50.29223,-5.64265,32,1918
16084,foul ground,50.74302,-6.16733,90,UNKNOWN
16609,foul ground,50.47888,-5.6921,62,UNKNOWN
16100,foul ground,50.8033,-6.03957,89,UNKNOWN
16710,foul ground,50.54555,-5.656,67,UNKNOWN
16066,foul ground,50.6408,-6.23677,91,1977
11695,foul ground,51.46728,-6.385,93,1977
16375,,50.20002,-5.46488,-1,1890
16083,foul ground,50.7408,-6.0704,89,1977
11307,,51.77533,-10.809,145,1917
11305,,51.73248,-10.38752,79,1951
57554,,50.2403,-5.47878,21,1918
11332,,51.25033,-9.934,112,1945
11336,,51.27422,-9.26012,104,1978
11331,,51.30033,-9.084,48,1945
11338,,51.28367,-9.36733,90,1939
15984,foul ground,50.0092,-6.3098,78,1977
11337,,51.27533,-9.55067,90,1917
21874,foul ground,49.93505,-6.02288,70,1977
16020,foul ground,50.13447,-6.30703,80,1977
11345,,51.36283,-9.06733,96,1917
11348,,51.45383,-9.818,30,1881
21740,foul ground,49.62007,-6.6081,103,1977
11344,,51.32533,-9.7965,90,1958
12167,foul ground,51.32547,-5.95932,93,1983
11335,,51.26978,-9.19733,105,1978
22448,foul ground,49.89783,-5.62682,73,1977
11333,,51.26025,-9.26033,107,1978
11341,,51.29617,-9.33067,70,1915
11349,,51.45328,-9.77828,22,1970
